generation,avg_fitness,stdev_fitness,best_fitness,avg_adjusted_fitness,mean_genetic_distance,std_genetic_distance,gen_time
37,66.038,90.61009,264.72,0.268,2.18,0.918,3.208
38,59.0402,85.33178,264.72,0.253,2.199,0.904,3.205
39,60.4636,84.15299,264.72,0.256,2.147,0.923,3.207
40,63.51041,85.8693,264.72,0.273,2.13,0.887,3.209
41,57.9558,92.84808,264.72,0.246,2.052,0.875,3.207
42,69.30804,92.43287,264.72,0.279,2.094,0.865,3.21
43,70.6516,90.66039,264.72,0.454,2.162,0.791,3.218
44,64.1858,86.26006,264.72,0.266,1.97,0.786,3.205
45,50.33061,84.86482,264.72,0.418,2.019,0.856,3.205
46,73.66898,94.72441,264.72,0.296,2.037,0.804,3.212
47,77.92653,92.38191,264.72,0.316,2.124,0.828,3.217
48,77.2198,97.98734,264.72,0.307,2.147,0.917,3.236
49,59.75327,90.43298,264.72,0.253,2.03,0.885,3.213
50,70.3562,89.88933,264.72,0.323,1.773,0.772,3.2
51,45.1992,72.41813,264.72,0.169,1.737,0.741,3.211
52,70.6874,86.0289,264.72,0.301,1.723,0.811,3.21
53,43.291,75.12017,264.72,0.202,1.735,0.866,3.203
54,52.3356,84.18729,264.72,0.239,1.726,0.898,3.208
55,62.3992,81.15541,264.72,0.263,1.682,0.883,3.204
56,46.866,83.52788,264.72,0.208,1.668,0.892,3.218
57,59.767,81.47174,264.72,0.251,1.75,0.932,3.195
58,62.9842,88.1635,264.72,0.278,1.631,0.832,3.201
59,55.7912,83.52803,264.73,0.24,1.715,0.865,3.191
60,55.6972,82.62523,264.73,0.231,1.619,0.823,3.187
61,56.0576,81.54165,264.73,0.242,1.751,0.737,3.188
62,69.824,83.89204,264.73,0.288,1.783,0.728,3.192
63,59.8262,87.05159,264.73,0.225,1.802,0.838,3.187
64,47.7004,79.33464,264.73,0.205,1.855,0.896,3.188
65,48.9908,80.29943,264.73,0.212,1.722,0.9,3.198
66,67.5578,96.25679,264.73,0.275,1.855,0.817,3.187
67,68.3892,90.9413,264.73,0.274,1.855,0.811,3.187
68,81.1674,107.20654,264.73,0.482,1.97,0.88,3.188
69,77.4256,101.0837,264.73,0.33,1.83,0.841,3.193
70,75.0716,104.69283,264.73,0.326,1.829,0.816,3.18
71,66.406,90.3517,264.73,0.284,1.898,0.812,3.186
72,47.0604,75.45818,264.73,0.228,1.797,0.798,3.189
73,62.1816,81.34162,264.73,0.258,1.806,0.834,3.195
74,58.7756,90.79023,264.73,0.263,1.811,0.762,3.184
75,73.5774,102.78783,264.73,0.311,1.791,0.779,3.189
76,61.9468,94.34315,264.73,0.426,1.792,0.855,3.188
77,79.5974,99.40264,264.73,0.345,1.813,0.713,3.191
78,54.852,88.04623,264.73,0.252,1.824,0.689,3.19
79,54.2934,85.85978,264.73,0.248,1.698,0.735,3.191
80,64.3462,84.08675,264.73,0.283,1.752,0.787,3.188
81,62.2444,84.69284,264.73,0.278,1.798,0.784,3.182
82,49.7802,84.98828,264.73,0.23,1.788,0.804,3.194
83,59.5338,84.66182,264.73,0.228,1.804,0.864,3.188
84,60.187,93.17645,264.73,0.264,1.842,0.847,3.185
85,57.3884,83.07973,264.73,0.26,1.826,0.776,3.192
86,72.2604,94.40797,269.73,0.305,1.765,0.845,3.182
87,70.9562,96.08459,269.73,0.281,1.744,0.804,3.194
88,73.5072,93.56724,269.73,0.306,1.734,0.818,3.185
89,71.6132,92.34285,269.73,0.311,1.792,0.809,3.19
